HDR,ROLLING SYSTEM DEMAND
VD,20210902163500,32932
VD,20210902164000,33010
VD,20210902164500,33042
VD,20210902165000,33125
VD,20210902165500,33025
VD,20210902170000,32932
VD,20210902170500,32922
VD,20210902171000,32833
VD,20210902171500,32858
VD,20210902172000,32983
VD,20210902172500,32923
VD,20210902173000,32860
VD,20210902173500,32927
VD,20210902174000,32905
VD,20210902174500,32942
VD,20210902175000,32903
VD,20210902175500,32788
VD,20210902180000,32716
VD,20210902180500,32667
VD,20210902181000,32670
VD,20210902181500,32676
VD,20210902182000,32674
VD,20210902182500,32682
VD,20210902183000,32670
VD,20210902183500,32698
VD,20210902184000,32760
VD,20210902184500,32832
VD,20210902185000,32877
VD,20210902185500,32878
VD,20210902190000,32930
VD,20210902190500,33050
VD,20210902191000,33090
VD,20210902191500,33163
VD,20210902192000,33124
VD,20210902192500,33043
VD,20210902193000,32896
VD,20210902193500,32900
VD,20210902194000,32900
VD,20210902194500,32658
VD,20210902195000,32522
VD,20210902195500,32433
VD,20210902200000,32232
VD,20210902200500,32051
VD,20210902201000,31877
VD,20210902201500,31731
VD,20210902202000,31492
VD,20210902202500,31280
VD,20210902203000,31083
VD,20210902203500,31113
VD,20210902204000,31059
VD,20210902204500,30693
VD,20210902205000,30476
VD,20210902205500,30203
VD,20210902210000,29980
VD,20210902210500,30009
VD,20210902211000,29800
VD,20210902211500,29681
VD,20210902212000,29446
VD,20210902212500,29363
VD,20210902213000,29146
VD,20210902213500,28868
VD,20210902214000,28396
VD,20210902214500,28084
VD,20210902215000,27924
VD,20210902215500,27760
VD,20210902220000,27553
VD,20210902220500,27577
VD,20210902221000,27408
VD,20210902221500,27262
VD,20210902222000,26994
VD,20210902222500,26838
VD,20210902223000,26620
VD,20210902223500,26314
VD,20210902224000,25979
VD,20210902224500,25770
VD,20210902225000,25542
VD,20210902225500,25254
VD,20210902230000,25111
VD,20210902230500,24731
VD,20210902231000,24631
VD,20210902231500,24577
VD,20210902232000,24600
VD,20210902232500,24531
VD,20210902233000,24451
VD,20210902233500,24482
VD,20210902234000,24322
VD,20210902234500,24158
VD,20210902235000,24032
VD,20210902235500,23942
VD,20210903000000,24008
VD,20210903000500,24177
VD,20210903001000,24216
VD,20210903001500,23985
VD,20210903002000,23868
VD,20210903002500,23809
VD,20210903003000,23759
VD,20210903003500,23735
VD,20210903004000,23658
VD,20210903004500,23716
VD,20210903005000,23679
VD,20210903005500,23621
VD,20210903010000,23560
VD,20210903010500,23384
VD,20210903011000,23226
VD,20210903011500,23143
VD,20210903012000,23121
VD,20210903012500,23126
VD,20210903013000,21890
VD,20210903013500,21860
VD,20210903014000,22970
VD,20210903014500,22896
VD,20210903015000,22823
VD,20210903015500,22848
VD,20210903020000,22929
VD,20210903020500,22977
VD,20210903021000,22924
VD,20210903021500,22863
VD,20210903022000,22805
VD,20210903022500,22753
VD,20210903023000,22778
VD,20210903023500,22807
VD,20210903024000,22760
VD,20210903024500,22683
VD,20210903025000,22693
VD,20210903025500,22696
VD,20210903030000,22694
VD,20210903030500,22723
VD,20210903031000,22763
VD,20210903031500,22887
VD,20210903032000,22908
VD,20210903032500,22870
VD,20210903033000,22852
VD,20210903033500,22827
VD,20210903034000,22914
VD,20210903034500,22972
VD,20210903035000,23008
VD,20210903035500,23163
VD,20210903040000,23337
VD,20210903040500,23363
VD,20210903041000,23390
VD,20210903041500,23519
VD,20210903042000,23585
VD,20210903042500,23570
VD,20210903043000,23655
VD,20210903043500,23763
VD,20210903044000,23879
VD,20210903044500,23963
VD,20210903045000,24094
VD,20210903045500,24158
VD,20210903050000,24362
VD,20210903050500,24682
VD,20210903051000,25182
VD,20210903051500,25455
VD,20210903052000,25587
VD,20210903052500,25877
VD,20210903053000,26052
VD,20210903053500,26365
VD,20210903054000,26703
VD,20210903054500,26884
VD,20210903055000,26958
VD,20210903055500,26994
VD,20210903060000,27327
VD,20210903060500,27811
VD,20210903061000,28290
VD,20210903061500,28606
VD,20210903062000,28987
VD,20210903062500,29179
VD,20210903063000,29264
VD,20210903063500,29576
VD,20210903064000,29768
VD,20210903064500,29929
VD,20210903065000,30099
VD,20210903065500,30269
VD,20210903070000,30237
VD,20210903070500,30362
VD,20210903071000,30575
VD,20210903071500,30932
VD,20210903072000,31018
VD,20210903072500,31088
VD,20210903073000,31352
VD,20210903073500,31401
VD,20210903074000,31435
VD,20210903074500,31473
VD,20210903075000,31566
VD,20210903075500,31584
VD,20210903080000,31652
VD,20210903080500,31756
VD,20210903081000,31935
VD,20210903081500,31867
VD,20210903082000,31679
VD,20210903082500,31611
VD,20210903083000,31596
VD,20210903083500,31569
VD,20210903084000,31491
VD,20210903084500,31440
VD,20210903085000,31477
VD,20210903085500,31406
VD,20210903090000,31153
VD,20210903090500,31088
VD,20210903091000,31138
VD,20210903091500,31199
VD,20210903092000,31260
VD,20210903092500,31220
VD,20210903093000,31237
VD,20210903093500,31244
VD,20210903094000,31134
VD,20210903094500,31027
VD,20210903095000,30961
VD,20210903095500,30869
VD,20210903100000,30864
VD,20210903100500,30935
VD,20210903101000,31054
VD,20210903101500,31074
VD,20210903102000,31023
VD,20210903102500,31035
VD,20210903103000,30967
VD,20210903103500,30877
VD,20210903104000,30826
VD,20210903104500,30838
VD,20210903105000,30768
VD,20210903105500,30715
VD,20210903110000,30682
VD,20210903110500,30695
VD,20210903111000,30684
VD,20210903111500,30736
VD,20210903112000,30792
VD,20210903112500,30717
VD,20210903113000,30664
VD,20210903113500,30724
VD,20210903114000,30695
VD,20210903114500,30651
VD,20210903115000,30917
VD,20210903115500,30898
VD,20210903120000,30792
VD,20210903120500,30729
VD,20210903121000,30843
VD,20210903121500,30747
VD,20210903122000,30612
VD,20210903122500,30455
VD,20210903123000,30229
VD,20210903123500,30032
VD,20210903124000,29995
VD,20210903124500,29990
VD,20210903125000,29879
VD,20210903125500,29838
VD,20210903130000,29798
VD,20210903130500,29781
VD,20210903131000,29773
VD,20210903131500,29713
VD,20210903132000,29636
VD,20210903132500,29554
VD,20210903133000,29434
VD,20210903133500,29492
VD,20210903134000,29515
VD,20210903134500,29555
VD,20210903135000,29482
VD,20210903135500,29445
VD,20210903140000,29199
VD,20210903140500,29188
VD,20210903141000,29246
VD,20210903141500,29177
VD,20210903142000,29172
VD,20210903142500,29330
VD,20210903143000,29282
VD,20210903143500,29369
VD,20210903144000,29366
VD,20210903144500,29519
VD,20210903145000,29706
VD,20210903145500,29750
VD,20210903150000,29836
VD,20210903150500,29855
VD,20210903151000,29939
VD,20210903151500,30149
VD,20210903152000,30180
VD,20210903152500,30364
VD,20210903153000,30566
VD,20210903153500,30758
VD,20210903154000,30942
VD,20210903154500,30915
VD,20210903155000,30891
VD,20210903155500,30963
VD,20210903160000,31057
VD,20210903160500,31201
VD,20210903161000,31344
VD,20210903161500,31583
VD,20210903162000,31768
VD,20210903162500,31865
VD,20210903163000,31966
VD,20210903163500,31969
VD,20210903164000,31931
VD,20210903164500,32008
VD,20210903165000,31991
VD,20210903165500,31874
VD,20210903170000,31942
VD,20210903170500,32138
VD,20210903171000,32177
VD,20210903171500,32106
VD,20210903172000,32026
VD,20210903172500,32006
VD,20210903173000,32097
VD,20210903173500,32173
VD,20210903174000,32213
VD,20210903174500,32224
VD,20210903175000,32336
VD,20210903175500,32428
VD,20210903180000,32469
VD,20210903180500,32498
VD,20210903181000,32471
VD,20210903181500,32396
VD,20210903182000,32367
VD,20210903182500,32334
VD,20210903183000,32316
VD,20210903183500,32312
VD,20210903184000,32279
VD,20210903184500,32237
VD,20210903185000,32299
VD,20210903185500,32232
VD,20210903190000,32167
VD,20210903190500,32355
VD,20210903191000,32460
VD,20210903191500,32418
VD,20210903192000,32277
VD,20210903192500,32243
VD,20210903193000,32086
VD,20210903193500,31939
VD,20210903194000,31957
VD,20210903194500,31904
VD,20210903195000,31742
VD,20210903195500,31488
VD,20210903200000,31468
VD,20210903200500,31451
VD,20210903201000,31352
VD,20210903201500,30952
VD,20210903202000,30818
VD,20210903202500,30543
VD,20210903203000,30383
VD,20210903203500,30204
VD,20210903204000,29999
VD,20210903204500,29943
VD,20210903205000,29874
VD,20210903205500,29479
VD,20210903210000,29218
VD,20210903210500,29153
VD,20210903211000,29032
VD,20210903211500,28870
VD,20210903212000,28727
VD,20210903212500,28597
VD,20210903213000,28277
VD,20210903213500,28011
VD,20210903214000,27557
VD,20210903214500,27372
VD,20210903215000,27167
VD,20210903215500,26940
VD,20210903220000,26680
VD,20210903220500,26166
VD,20210903221000,25826
VD,20210903221500,25625
VD,20210903222000,25388
VD,20210903222500,25202
VD,20210903223000,24958
VD,20210903223500,24829
VD,20210903224000,24521
VD,20210903224500,24204
VD,20210903225000,23974
VD,20210903225500,23849
VD,20210903230000,23630
VD,20210903230500,23442
VD,20210903231000,23250
VD,20210903231500,23025
VD,20210903232000,22878
VD,20210903232500,22724
VD,20210903233000,22555
VD,20210903233500,22500
VD,20210903234000,22486
VD,20210903234500,22370
VD,20210903235000,22306
VD,20210903235500,22260
VD,20210904000000,22071
VD,20210904000500,22021
VD,20210904001000,21907
VD,20210904001500,21901
VD,20210904002000,21914
VD,20210904002500,21890
VD,20210904003000,21888
VD,20210904003500,22018
VD,20210904004000,22030
VD,20210904004500,21957
VD,20210904005000,21817
VD,20210904005500,21741
VD,20210904010000,21697
VD,20210904010500,21851
VD,20210904011000,21900
VD,20210904011500,21791
VD,20210904012000,21697
VD,20210904012500,21657
VD,20210904013000,21642
VD,20210904013500,21646
VD,20210904014000,21639
VD,20210904014500,21698
VD,20210904015000,21741
VD,20210904015500,21720
VD,20210904020000,21660
VD,20210904020500,21560
VD,20210904021000,21571
VD,20210904021500,21543
VD,20210904022000,21499
VD,20210904022500,21492
VD,20210904023000,21467
VD,20210904023500,21511
VD,20210904024000,21500
VD,20210904024500,21483
VD,20210904025000,21468
VD,20210904025500,21368
VD,20210904030000,21327
VD,20210904030500,21361
VD,20210904031000,21411
VD,20210904031500,21397
VD,20210904032000,21413
VD,20210904032500,21358
VD,20210904033000,21363
VD,20210904033500,21433
VD,20210904034000,21467
VD,20210904034500,21440
VD,20210904035000,21422
VD,20210904035500,21468
VD,20210904040000,21464
VD,20210904040500,21489
VD,20210904041000,21633
VD,20210904041500,21759
VD,20210904042000,21803
VD,20210904042500,21843
VD,20210904043000,21730
VD,20210904043500,21717
VD,20210904044000,21754
VD,20210904044500,21876
VD,20210904045000,22040
VD,20210904045500,22181
VD,20210904050000,22256
VD,20210904050500,22279
VD,20210904051000,22223
VD,20210904051500,22211
VD,20210904052000,22161
VD,20210904052500,22207
VD,20210904053000,22247
VD,20210904053500,22359
VD,20210904054000,22444
VD,20210904054500,22579
VD,20210904055000,22731
VD,20210904055500,23003
VD,20210904060000,23220
VD,20210904060500,23416
VD,20210904061000,23718
VD,20210904061500,24002
VD,20210904062000,24176
VD,20210904062500,24279
VD,20210904063000,24328
VD,20210904063500,24428
VD,20210904064000,24445
VD,20210904064500,24628
VD,20210904065000,24895
VD,20210904065500,25227
VD,20210904070000,25366
VD,20210904070500,25790
VD,20210904071000,26151
VD,20210904071500,26304
VD,20210904072000,26506
VD,20210904072500,26712
VD,20210904073000,26845
VD,20210904073500,26854
VD,20210904074000,26982
VD,20210904074500,27159
VD,20210904075000,27263
VD,20210904075500,27313
VD,20210904080000,27376
VD,20210904080500,27570
VD,20210904081000,27526
VD,20210904081500,27648
VD,20210904082000,27710
VD,20210904082500,27703
VD,20210904083000,27721
VD,20210904083500,27777
VD,20210904084000,27858
VD,20210904084500,27868
VD,20210904085000,27847
VD,20210904085500,27781
VD,20210904090000,27703
VD,20210904090500,27757
VD,20210904091000,27772
VD,20210904091500,27717
VD,20210904092000,27628
VD,20210904092500,27574
VD,20210904093000,27484
VD,20210904093500,27486
VD,20210904094000,27466
VD,20210904094500,27453
VD,20210904095000,27512
VD,20210904095500,27379
VD,20210904100000,27268
VD,20210904100500,27203
VD,20210904101000,27144
VD,20210904101500,27152
VD,20210904102000,27122
VD,20210904102500,27134
VD,20210904103000,27072
VD,20210904103500,27049
VD,20210904104000,26988
VD,20210904104500,27020
VD,20210904105000,26990
VD,20210904105500,27085
VD,20210904110000,27008
VD,20210904110500,27034
VD,20210904111000,27012
VD,20210904111500,26993
VD,20210904112000,26999
VD,20210904112500,26968
VD,20210904113000,26903
VD,20210904113500,26881
VD,20210904114000,26812
VD,20210904114500,26744
VD,20210904115000,26806
VD,20210904115500,26904
VD,20210904120000,26905
VD,20210904120500,26833
VD,20210904121000,26808
VD,20210904121500,26728
VD,20210904122000,26697
VD,20210904122500,26591
VD,20210904123000,26520
VD,20210904123500,26532
VD,20210904124000,26430
VD,20210904124500,26337
VD,20210904125000,26203
VD,20210904125500,26163
VD,20210904130000,26075
VD,20210904130500,26181
VD,20210904131000,26064
VD,20210904131500,26000
VD,20210904132000,25986
VD,20210904132500,25939
VD,20210904133000,25920
VD,20210904133500,25930
VD,20210904134000,25869
VD,20210904134500,25904
VD,20210904135000,25943
VD,20210904135500,25946
VD,20210904140000,25913
VD,20210904140500,25950
VD,20210904141000,25896
VD,20210904141500,25859
VD,20210904142000,25817
VD,20210904142500,25957
VD,20210904143000,26028
VD,20210904143500,25978
VD,20210904144000,25933
VD,20210904144500,25978
VD,20210904145000,26097
VD,20210904145500,26162
VD,20210904150000,26271
VD,20210904150500,26471
VD,20210904151000,26691
VD,20210904151500,26734
VD,20210904152000,26791
VD,20210904152500,26857
VD,20210904153000,26907
VD,20210904153500,26945
VD,20210904154000,27004
VD,20210904154500,27146
VD,20210904155000,27323
VD,20210904155500,27496
VD,20210904160000,27574
VD,20210904160500,27874
VD,20210904161000,28033
VD,20210904161500,28256
VD,20210904162000,28469
VD,20210904162500,28554
VD,20210904163000,28614
VD,20210904163500,28864
VD,20210904164000,28958
VD,20210904164500,29058
VD,20210904165000,29190
VD,20210904165500,29273
VD,20210904170000,29415
VD,20210904170500,29598
VD,20210904171000,29677
VD,20210904171500,29732
VD,20210904172000,29774
VD,20210904172500,29837
VD,20210904173000,29868
VD,20210904173500,29934
VD,20210904174000,29875
VD,20210904174500,29741
VD,20210904175000,29789
VD,20210904175500,29793
VD,20210904180000,29775
VD,20210904180500,29781
VD,20210904181000,29757
VD,20210904181500,29739
VD,20210904182000,29694
VD,20210904182500,29666
VD,20210904183000,29623
VD,20210904183500,29420
VD,20210904184000,29408
VD,20210904184500,29334
VD,20210904185000,29318
