HDR,ROLLING SYSTEM DEMAND
20210904120000,26905.0
20210904120500,26833.0
20210904121000,26808.0
20210904121500,26728.0
20210904122000,26697.0
20210904122500,26591.0
20210904123000,26520.0
20210904123500,26532.0
20210904124000,26430.0
20210904124500,26337.0
20210904125000,26203.0
20210904125500,26163.0
20210904130000,26075.0
20210904130500,26181.0
20210904131000,26064.0
20210904131500,26000.0
20210904132000,25986.0
20210904132500,25939.0
20210904133000,25920.0
20210904133500,25930.0
20210904134000,25869.0
20210904134500,25904.0
20210904135000,25943.0
20210904135500,25946.0
20210904140000,25913.0
20210904140500,25950.0
20210904141000,25896.0
20210904141500,25859.0
20210904142000,25817.0
20210904142500,25957.0
20210904143000,26028.0
20210904143500,25978.0
20210904144000,25933.0
20210904144500,25978.0
20210904145000,26097.0
20210904145500,26162.0
20210904150000,26271.0
20210904150500,26471.0
20210904151000,26691.0
20210904151500,26734.0
20210904152000,26791.0
20210904152500,26857.0
20210904153000,26907.0
20210904153500,26945.0
20210904154000,27004.0
20210904154500,27146.0
20210904155000,27323.0
20210904155500,27496.0
20210904160000,27574.0
20210904160500,27874.0
20210904161000,28033.0
20210904161500,28256.0
20210904162000,28469.0
20210904162500,28554.0
20210904163000,28614.0
20210904163500,28864.0
20210904164000,28958.0
20210904164500,29058.0
20210904165000,29190.0
20210904165500,29273.0
20210904170000,29415.0
20210904170500,29598.0
20210904171000,29677.0
20210904171500,29732.0
20210904172000,29774.0
20210904172500,29837.0
20210904173000,29868.0
20210904173500,29934.0
20210904174000,29875.0
20210904174500,29741.0
20210904175000,29789.0
20210904175500,29793.0
20210904180000,29775.0
20210904180500,29781.0
20210904181000,29757.0
20210904181500,29739.0
20210904182000,29694.0
20210904182500,29666.0
20210904183000,29623.0
20210904183500,29420.0
20210904184000,29408.0
20210904184500,29334.0
20210904185000,29318.0
20210904185500,29427.0
20210904190000,29527.0
20210904190500,29676.0
20210904191000,29726.0
20210904191500,29710.0
20210904192000,29658.0
20210904192500,29704.0
20210904193000,29609.0
20210904193500,29571.0
20210904194000,29471.0
20210904194500,29267.0
20210904195000,29053.0
20210904195500,28837.0
20210904200000,28645.0
20210904200500,28683.0
20210904201000,28572.0
20210904201500,28305.0
20210904202000,27993.0
20210904202500,27770.0
20210904203000,27596.0
20210904203500,27543.0
20210904204000,27436.0
20210904204500,27335.0
20210904205000,27164.0
20210904205500,27045.0
20210904210000,26997.0
20210904210500,26881.0
20210904211000,26696.0
20210904211500,26597.0
20210904212000,26465.0
20210904212500,26271.0
20210904213000,26059.0
20210904213500,25917.0
20210904214000,25663.0
20210904214500,25396.0
20210904215000,25165.0
20210904215500,24984.0
20210904220000,24858.0
20210904220500,24418.0
20210904221000,24083.0
20210904221500,23794.0
20210904222000,23638.0
20210904222500,23518.0
20210904223000,23335.0
20210904223500,23148.0
20210904224000,22979.0
20210904224500,22766.0
20210904225000,22596.0
20210904225500,22407.0
20210904230000,22248.0
20210904230500,22059.0
20210904231000,21905.0
20210904231500,21722.0
20210904232000,21674.0
20210904232500,21603.0
20210904233000,21505.0
20210904233500,21513.0
20210904234000,21417.0
20210904234500,21362.0
20210904235000,21329.0
20210904235500,21200.0
20210905000000,21077.0
20210905000500,20946.0
20210905001000,20963.0
20210905001500,21004.0
20210905002000,21003.0
20210905002500,21028.0
20210905003000,21045.0
20210905003500,21059.0
20210905004000,21051.0
20210905004500,21045.0
20210905005000,21036.0
20210905005500,20924.0
20210905010000,20883.0
20210905010500,21025.0
20210905011000,20962.0
20210905011500,20902.0
20210905012000,20819.0
20210905012500,20906.0
20210905013000,20953.0
20210905013500,20953.0
20210905014000,20901.0
20210905014500,20716.0
20210905015000,20563.0
20210905015500,20505.0
20210905020000,20441.0
20210905020500,20459.0
20210905021000,20450.0
20210905021500,20446.0
20210905022000,20431.0
20210905022500,20563.0
20210905023000,20493.0
20210905023500,20481.0
20210905024000,20461.0
20210905024500,20432.0
20210905025000,20313.0
20210905025500,20264.0
20210905030000,20185.0
20210905030500,20164.0
20210905031000,20285.0
20210905031500,20261.0
20210905032000,20254.0
20210905032500,20320.0
20210905033000,20325.0
20210905033500,20302.0
20210905034000,20295.0
20210905034500,20273.0
20210905035000,20225.0
20210905035500,20233.0
20210905040000,20192.0
20210905040500,20306.0
20210905041000,20202.0
20210905041500,20156.0
20210905042000,20157.0
20210905042500,20242.0
20210905043000,20142.0
20210905043500,20213.0
20210905044000,20306.0
20210905044500,20316.0
20210905045000,20398.0
20210905045500,20528.0
20210905050000,20594.0
20210905050500,20748.0
20210905051000,20852.0
20210905051500,20885.0
20210905052000,20892.0
20210905052500,20868.0
20210905053000,20877.0
20210905053500,20887.0
20210905054000,20957.0
20210905054500,21090.0
20210905055000,21185.0
20210905055500,21303.0
20210905060000,21380.0
20210905060500,21564.0
20210905061000,21591.0
20210905061500,21563.0
20210905062000,21584.0
20210905062500,21691.0
20210905063000,21754.0
20210905063500,21917.0
20210905064000,22081.0
20210905064500,22086.0
20210905065000,22126.0
20210905065500,22195.0
20210905070000,22321.0
20210905070500,22745.0
20210905071000,23055.0
20210905071500,23245.0
20210905072000,23380.0
20210905072500,23515.0
20210905073000,23667.0
20210905073500,23692.0
20210905074000,23770.0
20210905074500,23901.0
20210905075000,24048.0
20210905075500,24231.0
20210905080000,24326.0
20210905080500,24543.0
20210905081000,24708.0
20210905081500,24832.0
20210905082000,24983.0
20210905082500,25103.0
20210905083000,25116.0
20210905083500,25122.0
20210905084000,25288.0
20210905084500,25352.0
20210905085000,25274.0
20210905085500,25238.0
20210905090000,25241.0
20210905090500,25355.0
20210905091000,25253.0
20210905091500,25172.0
20210905092000,25157.0
20210905092500,25241.0
